Date	Date
2017-01-03	1
2017-01-04	1
2017-01-05	1
2017-01-09	1
2017-01-10	2
2017-01-12	2
2017-01-13	1
2017-01-17	1
2017-01-18	1
2017-01-19	1
2017-01-23	3
2017-01-24	2
2017-01-25	2
2017-01-26	2
2017-01-27	1
2017-01-28	1
2017-01-30	1
2017-01-31	2
2017-02-01	1
2017-02-02	1
2017-02-03	1
2017-02-06	1
2017-02-07	2
2017-02-08	2
2017-02-09	1
2017-02-13	1
2017-02-14	1
2017-02-15	2
2017-02-16	1
2017-02-21	2
2017-02-27	1
2017-02-28	1
2017-03-01	3
2017-03-02	1
2017-03-03	1
2017-03-06	1
2017-03-08	4
2017-03-09	2
2017-03-10	1
2017-03-13	2
2017-03-14	1
2017-03-15	3
2017-03-16	1
2017-03-17	2
2017-03-20	3
2017-03-21	1
2017-03-22	1
2017-03-24	2
2017-03-27	1
2017-03-28	1
2017-03-29	2
2017-03-31	2
2017-04-03	1
2017-04-04	1
2017-04-05	2
2017-04-06	2
2017-04-07	2
2017-04-10	1
2017-04-11	1
2017-04-12	2
2017-04-13	2
2017-04-14	2
2017-04-17	2
2017-04-18	2
2017-04-19	2
2017-04-20	2
2017-04-21	1
2017-04-22	2
2017-04-24	1
2017-04-25	2
2017-04-26	1
2017-04-27	1
2017-04-28	1
2017-05-02	1
2017-05-03	3
2017-05-04	2
2017-05-05	2
2017-05-08	4
2017-05-09	2
2017-05-10	1
2017-05-11	2
2017-05-12	2
2017-05-15	2
2017-05-16	1
2017-05-17	2
2017-05-18	2
2017-05-19	3
2017-05-22	2
2017-05-25	1
2017-05-26	1
2017-05-30	2
2017-05-31	1
2017-06-02	1
2017-06-05	2
2017-06-06	2
2017-06-07	2
2017-06-08	2
2017-06-09	2
2017-06-12	2
2017-06-13	1
2017-06-15	1
2017-06-16	2
2017-06-19	2
2017-06-20	2
2017-06-21	1
2017-06-22	1
2017-06-26	2
2017-06-27	2
2017-06-28	3
2017-06-29	2
2017-07-03	2
2017-07-06	5
2017-07-07	2
2017-07-10	4
2017-07-11	1
2017-07-12	1
2017-07-13	2
2017-07-14	1
2017-07-17	3
2017-07-18	1
2017-07-19	2
2017-07-20	1
2017-07-21	1
2017-07-24	2
2017-07-25	3
2017-07-26	2
2017-07-27	1
2017-07-28	2
2017-07-31	2
2017-08-01	1
2017-08-02	1
2017-08-03	4
2017-08-04	2
2017-08-07	1
2017-08-08	3
2017-08-09	1
2017-08-10	2
2017-08-11	1
2017-08-14	1
2017-08-15	1
2017-08-16	1
2017-08-17	1
2017-08-18	1
2017-08-21	1
2017-08-22	2
2017-08-23	2
2017-08-24	1
2017-08-25	2
2017-08-28	1
2017-08-29	2
2017-08-30	1
2017-08-31	1
2017-09-01	2
2017-09-05	1
2017-09-06	1
2017-09-07	1
2017-09-08	1
2017-09-12	1
2017-09-13	2
2017-09-14	2
2017-09-15	1
2017-09-18	2
2017-09-19	1
2017-09-20	3
2017-09-21	1
2017-09-22	1
2017-09-25	1
2017-09-26	3
2017-09-27	2
2017-09-28	1
2017-09-29	1
2017-10-03	2
2017-10-04	1
2017-10-05	1
2017-10-06	1
2017-10-09	1
2017-10-10	2
2017-10-11	1
2017-10-12	1
2017-10-13	1
2017-10-16	2
2017-10-18	1
2017-10-19	8
2017-10-23	2
2017-10-24	6
2017-10-25	3
2017-10-26	1
2017-10-27	1
2017-10-30	1
2017-10-31	2
2017-11-02	1
2017-11-03	1
2017-11-07	1
2017-11-08	4
2017-11-09	3
2017-11-11	1
2017-11-13	2
2017-11-14	1
2017-11-16	1
2017-11-17	1
2017-11-20	1
2017-11-24	1
2017-11-27	1
2017-11-28	1
2017-11-29	2
2017-12-01	2
2017-12-04	1
2017-12-05	1
2017-12-06	2
2017-12-07	1
2017-12-08	1
2017-12-12	1
2017-12-13	1
2017-12-14	1
2017-12-15	1
2017-12-18	1
2017-12-19	1
2017-12-20	1
2017-12-21	1
2017-12-22	2
2017-12-23	1
2017-12-24	1
2017-12-27	2
