,algo,close_volatility,close_range,vol_volatility,vol_range,market,VIX_range,VIX_volatility,VIX_mean
0,?,0.02084074806160094,101.33583242076566,0.13416125997270514,1062781249.5,Crypto,0.4142606120508997,15.936468086545428,15.75429362493848
1,BCRP,0.04247071846733231,92.46372787927976,0.3470587437769165,5181971673.25,Crypto,0.6489769655984094,16.446468315427264,18.51958731091212
2,?,0.016945217799970016,40.14975984711782,0.1350580818935808,1301175667.25,Crypto,0.3897638582846246,14.36646839172121,18.93094052133106
3,?,0.04602151150329101,83.64902518026065,0.15891674727010113,2901167821.625,Crypto,0.40968772147188537,15.846467933957538,15.955293647826664
4,BCRP,0.02418107379603945,41.68570841453038,0.13667042602990284,1550544768.75,Crypto,0.5911962836136706,15.376468620603045,20.611234073790293
5,BestMarkowitz,0.03520784594141333,150.4675088955264,0.21559925256118848,2356683029.375,Crypto,0.5179764730973148,15.516468010251483,17.785940540404546
6,BestMarkowitz,0.04708151492641191,119.21263922229991,0.2436008073818379,4388862780.5,Crypto,0.4933754260029805,15.886467895810563,18.605587371947273
7,BCRP,0.03121232040928061,126.7481451088388,0.15429889204764974,2620325822.875,Crypto,0.38905060914746636,15.136467895810563,18.815940464110604
8,BCRP,0.03131019877407622,92.45866357634077,0.16068578970398759,2657726568.625,Crypto,0.3002380623175368,13.026468239133319,19.788940322966802
9,BCRP,0.04881211468009455,88.67783976180363,0.14550218929551895,4017993594.625,Crypto,0.39820310720115015,14.306467972104512,19.856587299468025
10,?,0.04439673625939187,165.50085449393373,0.14554135421548034,3372403351.625,Crypto,0.19032657554190038,25.730000495910645,26.270293800414557
11,?,0.055826691391358686,157.42044336229446,0.13129764047651807,2746345520.375,Crypto,0.2888003501220997,26.473530807192365,35.019586738707524
12,?,0.1874946200081825,382.2144609225361,0.37486718059020546,8184753731.0,Crypto,0.48644959837839125,54.703534164125955,59.75229434210157
13,BCRP,0.0470018539929219,115.8677934575826,0.12681571490279495,4827562827.375,Crypto,0.5012689064083611,38.05353263824705,49.17358740246485
14,BestMarkowitz,0.0333962817952712,119.25135074357968,0.1858115333032715,3954319275.875,Crypto,0.25529300050108394,29.093533553774396,45.66529406744336
15,BCRP,0.04214337422757967,87.91012944326212,0.17662892447464654,3506864514.25,Crypto,0.22424076234272183,13.683529891665021,35.16458700573633
16,BCRP,0.031932065545751245,119.93500418399344,0.14864147682333037,2409233890.25,Crypto,0.19929491812496325,17.423531570131818,35.93494080361866
17,BCRP,0.028884470819873376,163.7925964811584,0.1324906566780561,4979901668.125,Crypto,0.151185814089619,9.20999908447265,32.166293708861815
18,?,0.0420904137085966,145.9978027556208,0.1379669745185209,5091001123.75,Crypto,0.08866792935538115,7.709999084472656,30.163587173583018
19,?,0.03298449444913728,120.33415360815707,0.1291421565457721,2252360020.875,Crypto,0.0412588881748741,2.9099998474121094,28.438940704436526
20,BCRP,0.03954093747385353,94.85599087798619,0.15209010337460496,3562522764.375,Crypto,0.05596447012699924,3.7099990844726562,27.05158728039454
21,?,0.029651191107992764,71.26852212191443,0.1667964090949104,2469165199.0,Crypto,0.1847313328192208,14.980001449584961,31.5342937393794
22,?,0.020726011157265037,78.55665037280414,0.16261270125895325,1332846143.75,Crypto,0.1271466002170403,7.133530654604474,31.594940460295902
23,BestMarkowitz,0.03268903067100929,40.24809360440122,0.2284795061067126,1433258510.625,Crypto,0.056414610106134744,4.100000381469727,28.782587608458506
24,?,0.026593259055360197,39.35529657601728,0.21481294017194813,1904572091.875,Crypto,0.07476107671847546,6.509998321533203,28.37529372412061
25,BCRP,0.03231826296585752,241.44347494785325,0.2018450730480883,4714406839.625,Crypto,0.07388588647780088,3.6664685824560728,26.222587188841807
26,BestMarkowitz,0.04043840622958127,120.19275338732405,0.26161669703156637,2753541318.0,Crypto,0.07280611674903024,5.3364686587500145,24.84129370886182
27,BCRP,0.03135525425663425,68.98487711220514,0.3008932506016243,3199986845.25,Crypto,0.14664145525759378,5.936469040219745,24.67758711254786
28,?,0.03461426046291724,118.07185497644241,0.19346129099076276,2506856313.125,Crypto,0.11280359126961347,6.636467895810565,23.43029402929639
29,BestMarkowitz,0.0752735032288892,245.43148501217365,0.22288514992992858,7095083698.5,Crypto,0.1208555867662357,10.639999389648438,27.483940208525883
30,BestMarkowitz,0.03267040915118187,90.90738461565343,0.23896019168801305,6494292541.0,Crypto,0.0703982273076879,5.869998931884766,28.02358721172999
31,?,0.04582276091534434,115.88070314371726,0.33939966467383587,4843046057.625,Crypto,0.04785983440886759,2.75,27.24129370886182
32,BCRP,0.02079691948465176,39.24203654023586,0.19247572207534305,4842740254.0,Crypto,0.027196636593701574,1.7964677432226743,27.306587394835457
33,BestMarkowitz,0.01630135958605316,125.78147090706626,0.2047829726782531,6340452354.75,Crypto,0.06638754656137862,4.479999542236328,26.938293449462407
34,BestMarkowitz,0.02330186224661324,230.92623681630357,0.24633997921004086,5027169186.125,Crypto,0.02167853838368055,1.9400005340576172,28.219587310912118
35,BCRP,0.02214473575222352,136.05595592060126,0.2303945517330033,5427193867.75,Crypto,0.17675084148235903,12.29353050201659,33.99229335028028
