Date,^DJI_Close,^DJI_Vol,Cashback,Day,weekday,is_weekend,end_of_month,beginning_of_month,is_holiday
2021-11-01,35913.83984375,292880000,1.0,1,0,False,False,True,False
2021-11-02,36052.62890625,304510000,1.0,2,1,False,False,True,False
2021-11-03,36157.578125,262540000,1.0,3,2,False,False,True,False
2021-11-04,36124.23046875,307640000,1.0,4,3,False,False,True,False
2021-11-05,36327.94921875,344600000,1.0,5,4,False,False,False,False
2021-11-08,36432.21875,284400000,1.0,8,0,False,False,False,False
2021-11-09,36319.98046875,258020000,1.0,9,1,False,False,False,False
2021-11-10,36079.94140625,278390000,1.0,10,2,False,False,False,False
2021-11-11,35921.23046875,270320000,1.0,11,3,False,False,False,True
2021-11-12,36100.30859375,293180000,1.0,12,4,False,False,False,False
2021-11-15,36087.44921875,280660000,1.0,15,0,False,False,False,False
2021-11-16,36142.21875,308290000,1.0,16,1,False,False,False,False
2021-11-17,35931.05078125,358310000,1.0,17,2,False,False,False,False
2021-11-18,35870.94921875,435080000,1.0,18,3,False,False,False,False
2021-11-19,35601.98046875,408840000,1.0,19,4,False,False,False,False
2021-11-22,35619.25,420810000,1.0,22,0,False,False,False,False
2021-11-23,35813.80078125,392520000,1.0,23,1,False,False,False,False
2021-11-24,35804.37890625,280960000,1.0,24,2,False,False,False,True
2021-11-26,34899.33984375,324580000,1.0,26,4,False,False,False,False
2021-11-29,35135.94140625,416040000,1.0,29,0,False,True,False,False
2021-11-30,34483.71875,678800000,1.0,30,1,False,True,False,False
