,Ratio de Sharpe,beta
Anticor,-0.12414674525439162,1.0000000000000004
BAH,-0.0055791719175636145,1.0104651078249105
BCRP,4.20128659935742,1.8444740901816978
BestMarkowitz,4.201286115894132,1.8444701821178893
BestSoFar,3.101857324462209,1.6772647690760798
BNN,2.632063703811926,0.884591717036932
CORN,1.9633496692740289,0.8667154247012173
CRP,-0.12414674525439162,1.0000000000000004
CWMR,-1.986026504955287,0.7515359389619812
DynamicCRP,-0.12414674525439162,1.0000000000000004
EG,-0.11906285296925548,1.0002494021231807
OLMAR,-2.7277571799618885,0.6773314561558403
ONS,-0.3082703517677573,1.0297388164940386
PAMR,-2.078894965723613,0.7520496600868177
RMR,-2.46932459006209,0.6794969547310025
